精美装修   采光很好  业主急售 带车位,锦华小区 _ 兴华南街,3室2厅 | 122.34平米 | 南 北 | 精装 | 7层  | 板楼,"VR看装修,房本满五年,随时看房,商业类",106万,单价8665元/平米
升龙汇金广场 2室1厅 北,升龙汇金广场 _ 南阳路,2室1厅 | 69.25平米 | 北 | 精装 | 低楼层(共34层)  | 塔楼,"VR看装修,房本满两年,随时看房,商业类",105万,单价15163元/平米
北三环清华园—湖景绿化小区—舒适大2房,郑州清华园 _ 南阳路,2室2厅 | 93.93平米 | 南 | 精装 | 6层  | 板塔结合,"VR看装修,房本满五年,商业类",113万,单价12031元/平米
双地铁口，12年电梯小区 精装修 楼层好 采光好,裕华美晨 _ 省体育中心,2室2厅 | 90.25平米 | 南 北 | 精装 | 中楼层(共17层)  | 塔楼,"近地铁,VR看装修,房本满五年,商业类",107万,单价11856元/平米
近三环 宜家旁  地铁口  精装小两房,城市北岸 _ 省体育中心,2室1厅 | 61.18平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满五年,商业类",68万,单价11115元/平米
新希望澳园 2室1厅 东北,新希望澳园 _ 省体育中心,2室1厅 | 77.02平米 | 东北 | 简装 | 中楼层(共9层)  | 板楼,"近地铁,VR房源,房本满五年,商业类",92.5万,单价12010元/平米
房子满五唯一，税费少，近地铁，交通便利,裕华第九城市 _ 省体育中心,2室2厅 | 84.34平米 | 南 | 简装 | 中楼层(共26层)  | 板塔结合,"近地铁,VR看装修,房本满五年,商业类",81万,单价9604元/平米
新上大三房，三环内，地铁口，户型方正，单价低,华润城市知音 _ 绿茵广场,3室2厅 | 113.83平米 | 南 北 | 精装 | 6层  | 板楼,"VR房源,房本满五年",135万,单价11860元/平米
满两年没有差额，精装修一天未住,融创城开瓏府 _ 北大学城,4室2厅 | 128.4平米 | 东 东南 | 精装 | 高楼层(共33层)  | 板楼,"VR看装修,随时看房,商业类",218万,单价16979元/平米
小区在香山路和开元路，距离地铁距离小区500米左右。,建业花园里海棠苑 _ 北大学城,3室2厅 | 125.13平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,"近地铁,VR看装修,随时看房,商业类",228万,单价18222元/平米
前排双河景房，采光好，契税满二，诚心出售。,美景麟起城一号院 _ 北大学城,3室2厅 | 89.13平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,"VR房源,随时看房,商业类",159万,单价17840元/平米
中间楼层，户型方正，出行方便，人车分流小区,绿地璀璨天城 _ 省体育中心,3室2厅 | 90.33平米 | 南 | 毛坯 | 中楼层(共34层)  | 塔楼,"VR看装修,随时看房,商业类",127万,单价14060元/平米
森林湖四期双气大三房  业主诚心出售 看房随时,怡丰森林湖四期 _ 北大学城,3室2厅 | 123.32平米 | 东 南 | 毛坯 | 中楼层(共25层)  | 板塔结合,"VR看装修,随时看房,商业类",131万,单价10623元/平米
地铁口双气，户型好，得房率高，看房方便,裕华美霖 _ 南阳路,2室1厅 | 77.47平米 | 南 | 其他 | 6层  | 板楼,"VR看装修,房本满五年,随时看房",100万,单价12909元/平米
人车分流，小区环境优美，纯地铁口房子。,昌建誉峰 _ 南阳路,1室0厅 | 42.55平米 | 南 | 精装 | 21层  | 板塔结合,"VR看装修,房本满两年,随时看房",65万,单价15277元/平米
满五唯一，税费少，小区环境优美，中间楼层,昌建誉峰 _ 南阳路,2室1厅 | 86.69平米 | 南 | 精装 | 25层  | 板塔结合,"VR看装修,房本满五年,随时看房",140万,单价16150元/平米
双地铁  满五唯一   三房采光好,裕华美晨 _ 省体育中心,3室2厅 | 103.06平米 | 东南 | 简装 | 高楼层(共28层)  | 塔楼,"近地铁,VR看装修,房本满五年,随时看房",117万,单价11353元/平米
三环内，地铁口，16年人车分流双气小区,昌建誉峰 _ 南阳路,2室1厅 | 64.5平米 | 东 南 | 精装 | 22层  | 板塔结合,"VR看装修,房本满五年,随时看房",97.5万,单价15117元/平米
北郡二期 小两房 业主诚心出售 看房方便,北郡二期 _ 北大学城,2室2厅 | 57平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,"VR看装修,房本满两年",70万,单价12281元/平米
清华园，地铁3号线旁，多层4楼，园林社区，南北通户型,郑州清华园 _ 南阳路,2室2厅 | 90.53平米 | 南 北 | 精装 | 6层  | 板塔结合,"VR看装修,房本满五年",112万,单价12372元/平米
永威品质   朝南大两房  精装修,永威迎宾府 _ 北大学城,2室2厅 | 89.68平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,"VR看装修,房本满两年",158万,单价17619元/平米
满五唯一   地铁三号线   多层2楼  南北通透  采光好,金桥美丽苑 _ 绿茵广场,2室1厅 | 69.57平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满五年",81万,单价11643元/平米
三环内 地铁口 宜家旁 精装两房，楼层好，装修看图,绿地璀璨天城 _ 省体育中心,2室2厅 | 79.43平米 | 南 | 精装 | 34层  | 塔楼,"VR看装修,房本满两年",118万,单价14856元/平米
裕华美欣精装大两房 两卧朝南 省体3号线4号线双地铁口,裕华美欣 _ 省体育中心,2室2厅 | 95.21平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,"近地铁,VR看装修,房本满五年",105万,单价11029元/平米
洋房毛坯  大平层   洋房加别墅园区环境  人车分流,正商玉兰谷明园 _ 邙山,5室1厅 | 176.95平米 | 南 | 其他 | 高楼层(共8层)  | 板塔结合,"VR房源,随时看房",190万,单价10738元/平米
碧源月湖景园！价格客观，随时看房中间楼层,碧源月湖景园 _ 北大学城,2室2厅 | 93.33平米 | 南 | 简装 | 高楼层(共32层)  | 板塔结合,"近地铁,VR看装修,随时看房",121万,单价12965元/平米
满两年的精装小三室，楼层适中，随时可以看房,康桥悦城1号院 _ 滨河国际新城商圈,3室1厅 | 92.64平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,"VR看装修,随时看房",160万,单价17272元/平米
满二 小三房恒大绿洲 好楼层 定制家电,恒大绿洲三期 _ 第三大街,3室2厅 | 89.78平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,"VR看装修,随时看房",173万,单价19270元/平米
远大理想城 N组团南北通透大三房 中间楼层,远大理想城 _ 第三大街,3室2厅 | 143.33平米 | 南 北 | 简装 | 中楼层(共26层)  | 板塔结合,"VR看装修,房本满五年,随时看房",223万,单价15559元/平米
房子精装修，，诚心出售，随时可看有钥匙,远大理想城 _ 第三大街,3室2厅 | 124.24平米 | 南 北 | 精装 | 高楼层(共22层)  | 板塔结合,"近地铁,VR房源,房本满两年,随时看房",192万,单价15454元/平米
此房满五年税费少户型好双卫设计楼层好，采光好，,远大理想城 _ 第三大街,3室2厅 | 125.24平米 | 南 北 | 精装 | 高楼层(共28层)  | 板塔结合,"VR看装修,房本满五年,随时看房",203万,单价16209元/平米
满五年小高层，南北通透，户型好，位置好看房方便,远大理想城 _ 第三大街,3室2厅 | 102.47平米 | 南 北 | 简装 | 中楼层(共11层)  | 板塔结合,"VR看装修,房本满五年",185万,单价18055元/平米
金沙湖精装两房 视线无遮挡  观景效果好,金沙湖高尔夫观邸二期 _ 第八大街,2室1厅 | 89.41平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,"VR看装修,房本满两年",140万,单价15659元/平米
格林假日 南北小两房  满五年 全款房 看房方便,格林假日 _ 第三大街,2室1厅 | 64.14平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满五年",90万,单价14032元/平米
70年双气   满五年税费少  精装修,美立方 _ 第三大街,2室2厅 | 54.24平米 | 南 | 精装 | 高楼层(共13层)  | 板塔结合,"近地铁,VR房源,房本满五年,随时看房",104.3万,单价19230元/平米
满两年，西边户三房，精装修南北通透格局,康桥悦城1号院 _ 滨河国际新城商圈,3室2厅 | 93.37平米 | 南 北 | 精装 | 高楼层(共20层)  | 板楼,"VR看装修,房本满两年,随时看房",162万,单价17351元/平米
满五唯一，业主诚心出售，高层简单装修，拎包入住,远大理想城 _ 第三大街,2室1厅 | 95.49平米 | 南 | 简装 | 高楼层(共22层)  | 塔楼,"近地铁,VR看装修,房本满五年,随时看房",143万,单价14976元/平米
大三居，精装修，拎包入住，中高楼层无遮挡,远大理想城 _ 第三大街,3室2厅 | 127.1平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,"VR房源,随时看房",215万,单价16916元/平米
远大精装南北通透，满五唯一红本在手，80米楼间距,远大理想城 _ 第三大街,3室2厅 | 140.61平米 | 南 北 | 精装 | 中楼层(共28层)  | 板塔结合,"VR房源,随时看房",226万,单价16073元/平米
户型方正大两房，采光视野好，全款房，过户快,恒大绿洲一期 _ 第三大街,2室2厅 | 92.21平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,"近地铁,VR看装修,随时看房,商业类",158万,单价17135元/平米
房子满五，户型方正、南北通透、诚意出售,远大理想城 _ 第三大街,3室2厅 | 125.83平米 | 南 北 | 简装 | 中楼层(共28层)  | 板塔结合,"VR房源,房本满五年,随时看房",189万,单价15021元/平米
满二 精装 业主自住 恒大物业,恒大绿洲二期 _ 第三大街,2室2厅 | 80.69平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,"VR看装修,房本满两年,随时看房",145万,单价17971元/平米
南北通风厅卧朝南精装修诚意出售随时看房集中供暖,绿地海珀兰轩 _ 第三大街,2室2厅 | 88.2平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,"VR看装修,房本满两年,随时看房",137万,单价15533元/平米
满五年，配套成熟，交通便利。。,远大理想城 _ 第三大街,2室2厅 | 92.95平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,"VR看装修,房本满两年,随时看房",145万,单价15600元/平米
经典小三房 满五唯一 现代精装南北通透 视野无遮挡,富田九鼎世家 _ 第三大街,3室2厅 | 93.85平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,"近地铁,VR看装修,房本满两年",185万,单价19713元/平米
海珀兰轩 品质社区 人车分流 南北通透户型方正精装修,绿地海珀兰轩 _ 第三大街,4室2厅 | 162.49平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,"VR看装修,房本满两年",300万,单价18463元/平米
富田品质 大四房  业主诚心出售,富田九鼎世家 _ 第三大街,4室2厅 | 184.45平米 | 南 北 | 精装 | 中楼层(共25层)  | 板塔结合,"近地铁,VR看装修,房本满两年",350万,单价18976元/平米
房子精装修，业主诚心出售看房方便,海馨苑 _ 第三大街,4室2厅 | 178.99平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,"VR看装修,房本满两年",223万,单价12459元/平米
朝凤路 远大理想城 多层电梯洋房 满两年 采光充足,远大理想城 _ 第三大街,3室2厅 | 126.11平米 | 南 | 精装 | 低楼层(共10层)  | 板塔结合,"近地铁,VR看装修,房本满五年",229万,单价18159元/平米
临湖观景 朝南两房 契税满两年 原汁原味新房现房,金沙湖高尔夫观邸二期 _ 第八大街,2室2厅 | 89.23平米 | 南 | 毛坯 | 低楼层(共30层)  | 板塔结合,"VR看装修,房本满两年,随时看房,商业类",125万,单价14009元/平米
满五唯一  税少    中间楼层    采光好  小区绿化多,恒大绿洲一期 _ 第三大街,2室1厅 | 82.52平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,"近地铁,VR看装修,房本满两年,随时看房,商业类",150万,单价18178元/平米
远大精装两房  采光好 中间楼层,远大理想城 _ 第三大街,2室1厅 | 85.41平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,"VR看装修,房本满两年,商业类",138万,单价16158元/平米
满五唯一 诚意出售 简单装修 南北通,富田九鼎世家 _ 第三大街,3室2厅 | 89.91平米 | 南 北 | 简装 | 中楼层(共26层)  | 板塔结合,"VR看装修,随时看房,商业类",180万,单价20021元/平米
满2年 无增值税 有房本 随时过户 诚心出售,绿地澜庭 _ 滨河国际新城商圈,3室2厅 | 121.03平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,"VR看装修,随时看房,商业类",178万,单价14708元/平米
信保十里樾 边户 诚意售 看房方便 毛坯,信保春风十里 _ 滨河国际新城商圈,3室2厅 | 112.98平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 塔楼,"VR看装修,随时看房,商业类",170万,单价15047元/平米
格林北院别墅区  满五年 两房 税费低,格林度假山庄 _ 第三大街,2室2厅 | 90.29平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,"VR房源,房本满五年,随时看房",105万,单价11630元/平米
二环边 地铁口 墅院 中间楼层  通透房,格林度假山庄 _ 第三大街,2室2厅 | 98.59平米 | 南 北 | 简装 | 中楼层(共4层)  | 板塔结合,"近地铁,VR看装修,房本满五年,随时看房",120万,单价12172元/平米
楼层好，视野开阔，配套设施齐全。,大城小室 _ 第三大街,1室0厅 | 27.74平米 | 东 | 简装 | 中楼层(共15层)  | 板楼,"近地铁,VR房源,房本满五年,随时看房",23万,单价8292元/平米
纯南简装两室  满五唯一 高楼层  视野开阔,金沙湖高尔夫观邸二期 _ 第八大街,2室2厅 | 89.13平米 | 西南 | 简装 | 高楼层(共33层)  | 板塔结合,"VR看装修,房本满两年",127万,单价14249元/平米
远大理想城 3室2厅 南,远大理想城 _ 第三大街,3室2厅 | 116.48平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,"VR看装修,房本满五年",172万,单价14767元/平米
优质户型 中高楼层采光刺眼  精装修拎包入住  有车位,远大理想城 _ 第三大街,2室1厅 | 94.95平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,"VR看装修,房本满五年",148万,单价15588元/平米
公园小区，南北通透双阳台，税费少,康桥悦城2号院 _ 滨河国际新城商圈,3室2厅 | 112.78平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,"VR看装修,随时看房",190万,单价16847元/平米
中高楼层，采光视野好，经典好户型，业主诚心出售,信保春风十里 _ 滨河国际新城商圈,3室2厅 | 101.4平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 塔楼,"VR看装修,随时看房",148万,单价14596元/平米
滨河现房  精装修 边户双卫户型  视野好  观荷湖,绿地澜庭 _ 滨河国际新城商圈,3室2厅 | 120.05平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,"VR看装修,随时看房",176万,单价14661元/平米
带装修小三房，中间楼层视野开阔,康桥悦城2号院 _ 滨河国际新城商圈,3室2厅 | 89.71平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,"VR看装修,随时看房",150万,单价16721元/平米
满五唯一，视野开阔，采光好 拎包入住,恒大绿洲一期 _ 第三大街,2室1厅 | 91.67平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,"近地铁,VR房源",166万,单价18109元/平米
精装南北通透两室，门口附带15平方露台，价位包含车位,金沙湖高尔夫观邸二期 _ 第八大街,2室2厅 | 88.52平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,"VR看装修,房本满两年",140万,单价15816元/平米
此房子满五年唯一 有房本 产权清晰 成套住宅 随时过户,格林假日 _ 第三大街,2室2厅 | 102平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满五年",122万,单价11961元/平米
金沙湖 南北通透精装两居 楼层好 视野佳  诚心出售,金沙湖高尔夫观邸二期 _ 第八大街,2室1厅 | 77.01平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,"VR看装修,房本满两年",123万,单价15972元/平米
满五年，精装修，采光好，业主诚心出售,远大理想城 _ 第三大街,2室2厅 | 84.07平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,"近地铁,VR看装修,房本满五年",135万,单价16059元/平米
同馨苑 3室1厅 南,同馨苑 _ 第三大街,3室1厅 | 126.96平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,"近地铁,VR看装修,随时看房",136万,单价10713元/平米
金沙湖高尔夫 满五唯一精装修好楼层 绿化60低密度品质,金沙湖高尔夫观邸二期 _ 第八大街,2室1厅 | 77.09平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,"VR看装修,随时看房",128万,单价16604元/平米
观湖两房，视野开阔，高楼层，带露台，,金沙湖高尔夫观邸二期 _ 第八大街,2室2厅 | 88.69平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,"VR看装修,随时看房",131万,单价14771元/平米
金沙湖高尔夫官邸 南北通透三房 毛坯次新房 满两年,金沙湖高尔夫观邸二期 _ 第八大街,3室2厅 | 89.13平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,"VR看装修,随时看房",130万,单价14586元/平米
地铁口小高层社区，业主急售价格可谈,同馨苑 _ 第三大街,3室2厅 | 131.03平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,"近地铁,VR房源",119万,单价9082元/平米
品质社区 康桥精装现房 高层景观视野,康桥悦城7号院 _ 滨河国际新城商圈,3室2厅 | 105.03平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,VR看装修,185万,单价17615元/平米
满二低差额   无遮挡采光好   业主诚心出售,金沙湖高尔夫观邸二期 _ 第八大街,3室2厅 | 89.59平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,VR看装修,145万,单价16185元/平米
精装修  保持好  直接能入住,金沙湖高尔夫观邸 _ 第八大街,2室2厅 | 82.35平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,VR看装修,123万,单价14937元/平米
业主自住，看房方便，满五年，诚心卖房。,远大理想城 _ 第三大街,2室2厅 | 93.24平米 | 西南 | 简装 | 中楼层(共26层)  | 板塔结合,VR看装修,136万,单价14587元/平米
楼下是地铁口 马上满五年唯一 离公园近,中建观湖国际 _ 滨河国际新城商圈,3室2厅 | 90.11平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,VR看装修,148万,单价16425元/平米
别墅区电梯复式 客厅挑高5米 视野开阔 五号线地铁口,格林度假山庄 _ 第三大街,4室2厅 | 260.41平米 | 南 北 | 简装 | 高楼层(共11层)  | 板塔结合,"近地铁,房本满五年",306万,单价11751元/平米
理想城70平双露台 50平3间大阁楼 顶楼大复式,远大理想城 _ 第三大街,4室2厅 | 174.72平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,"近地铁,VR房源,房本满两年,随时看房,商业类",240万,单价13737元/平米
顶楼复式 格局合理 业主诚心出售 看房方便 全天采光,加州第一城 _ 第三大街,3室2厅 | 145.61平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,"VR房源,房本满五年,随时看房,商业类",148万,单价10165元/平米
一梯两户 小洋房 精装191平四房房 满五年 中间楼层,亚太明珠 _ 第三大街,4室1厅 | 190.12平米 | 南 北 | 其他 | 中楼层(共16层)  | 板楼,"VR看装修,房本满五年",350万,单价18410元/平米
远大理想城 3室2厅 南 北,远大理想城 _ 第三大街,3室2厅 | 141.86平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,"VR看装修,房本满五年,商业类",210万,单价14804元/平米
公安局家属院 满五唯一住房 看房方便配套齐全,经济开发区公安分局家属院 _ 第三大街,4室2厅 | 162.55平米 | 南 北 | 其他 | 高楼层(共22层)  | 板楼,"近地铁,VR房源,房本满两年,随时看房",188万,单价11566元/平米
此房精装修，楼间距较宽，采光好，视野宽阔，配套齐全,恒大绿洲一期 _ 第三大街,3室2厅 | 140.72平米 | 东 | 其他 | 高楼层(共33层)  | 板塔结合,"近地铁,VR房源,房本满两年,随时看房",255万,单价18122元/平米
全景观湖大平层，价位附带车位。,金沙湖高尔夫观邸 _ 第八大街,4室2厅 | 205.25平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板塔结合,"VR看装修,房本满两年,随时看房",400万,单价19489元/平米
精装修   家具家电齐全  税费低,恒大绿洲二期 _ 第三大街,3室2厅 | 101.81平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,"VR看装修,房本满两年,随时看房",213万,单价20922元/平米
金沙湖观景大平层，环境安谧，绿化高，宜居。,金沙湖高尔夫观邸 _ 第八大街,5室2厅 | 354.19平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,"VR房源,房本满两年,随时看房",610万,单价17223元/平米
近5号线地铁口，即将满五唯一，公摊小，业主诚意出售,经济开发区公安分局家属院 _ 第三大街,5室4厅 | 284.12平米 | 南 | 简装 | 高楼层(共21层)  | 板塔结合,"VR房源,房本满两年,随时看房",300万,单价10559元/平米
一二楼花园洋房 ，东边户带花园，带地下室，看房随时,金沙湖高尔夫观邸六期和谐嘉园 _ 第八大街,5室3厅 | 262.44平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,"VR房源,房本满两年,随时看房",800万,单价30484元/平米
金沙湖别墅区观湖效果好的大平层 楼层很优质 南北通透,金沙湖高尔夫观邸 _ 第八大街,4室2厅 | 229.7平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板塔结合,"VR房源,房本满两年,随时看房",430万,单价18721元/平米
亚太花园 3室1厅 南,亚太花园 _ 第三大街,3室1厅 | 143.52平米 | 南 | 毛坯 | 低楼层(共30层)  | 板楼,"VR看装修,房本满两年,随时看房,商业类",195万,单价13587元/平米
宏光合园 2室1厅 东,宏光合园 _ 第三大街,2室1厅 | 88.53平米 | 东 | 简装 | 高楼层(共17层)  | 板塔结合,"近地铁,VR看装修,房本满五年,随时看房,商业类",115万,单价12990元/平米
此房精装修，楼间距较宽，采光好，视野宽阔，配套齐全,恒大绿洲一期 _ 第三大街,2室1厅 | 91.62平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,"VR看装修,房本满两年,随时看房",168万,单价18337元/平米
视野好无遮挡二次装修，全新只住了一个多月,恒大绿洲二期 _ 第三大街,3室1厅 | 136.51平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,"VR房源,房本满两年,随时看房,商业类",270万,单价19779元/平米
下楼就是湖 270度观景大平层 双气精装  不看此房遗憾,金沙湖高尔夫观邸 _ 第八大街,5室3厅 | 354.19平米 | 东 南 西 北 | 其他 | 中楼层(共33层)  | 板楼,"VR房源,房本满两年",950万,单价26822元/平米
满五唯一大两室，价格可谈，诚意出售,恒大绿洲一期 _ 第三大街,2室1厅 | 91.62平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,"VR看装修,房本满两年",162万,单价17682元/平米
格林假日 一楼带院 地下室 看房方便 业主诚心出售,格林假日 _ 第三大街,3室2厅 | 106.29平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,"近地铁,VR房源,房本满五年",225万,单价21169元/平米
观湖效果*出你的想象 精装修 楼层适中,金沙湖高尔夫观邸 _ 第八大街,5室2厅 | 253.21平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,"VR房源,房本满两年,商业类",530万,单价20932元/平米
满五不唯一     精装修     随时领包入住,东郡蓝湾 _ 第三大街,4室2厅 | 195.6平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,"VR房源,房本满五年,商业类",230万,单价11759元/平米
郑州少见的湖景大平层，事业成功的您值得拥有,金沙湖高尔夫观邸 _ 第八大街,4室2厅 | 229.66平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,"VR房源,房本满两年,商业类",500万,单价21772元/平米
远大理想城 2室1厅 南,远大理想城 _ 第三大街,2室1厅 | 90.96平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,"VR看装修,随时看房",133万,单价14622元/平米
远大理想城 3室2厅 南 北,远大理想城 _ 第三大街,3室2厅 | 122.84平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,"VR看装修,房本满五年,商业类",196万,单价15956元/平米
小区环境优美，入住舒心，税费低，价格可谈,金沙湖高尔夫观邸二期 _ 第八大街,2室1厅 | 88.92平米 | 南 | 简装 | 中楼层(共33层)  | 板塔结合,"VR看装修,房本满两年,商业类",135万,单价15183元/平米
精装修观湖大三房，满五唯一，看房方便,金沙湖高尔夫观邸六期和谐嘉园 _ 第八大街,3室2厅 | 124.08平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,"VR看装修,房本满两年,随时看房,商业类",215万,单价17328元/平米
保利罗兰香谷业主诚心卖看房方便有钥匙小区环境优美。,保利罗兰香谷 _ 第八大街,3室2厅 | 129.02平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,"VR看装修,房本满五年,随时看房,商业类",129万,单价9999元/平米
诚意出售 户型采光好 优质三房,锦麟公馆 _ 第三大街,3室2厅 | 99.03平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,"近地铁,VR看装修,房本满两年,随时看房,商业类",186万,单价18783元/平米
楼层低，税费低，哪哪都是得第①。要嘚，联系席统一,加州第一城 _ 第三大街,3室2厅 | 123.62平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,"VR看装修,房本满五年,随时看房,商业类",170万,单价13752元/平米
房子满五年 观景效果好 南北通透 采光充足,加州第一城 _ 第三大街,2室2厅 | 90.19平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,"VR看装修,房本满五年,随时看房,商业类",125万,单价13860元/平米
房子现在空置   三四楼  看房方便  着急出售,青青美庐小区 _ 第三大街,4室2厅 | 340平米 | 南 | 其他 | 中楼层(共4层)  | 板楼,"VR房源,房本满五年,随时看房,商业类",460万,单价13530元/平米
格林假日大三房  满五年 价位包含12平地下室,格林假日 _ 第三大街,3室2厅 | 104.18平米 | 西南 | 简装 | 高楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房,商业类",139万,单价13343元/平米
远大理想城南北通透三居 地铁5号线中原福塔站看房随时,远大理想城 _ 第三大街,3室1厅 | 125.89平米 | 南 北 | 其他 | 低楼层(共33层)  | 塔楼,"VR看装修,房本满五年,随时看房",189万,单价15014元/平米
宏光合园 双气配套齐全 交通便利 看房方便,宏光合园 _ 第三大街,3室2厅 | 112.99平米 | 南 北 | 其他 | 中楼层(共32层)  | 板塔结合,"VR看装修,房本满两年,随时看房",165万,单价14604元/平米
此房满五年唯一，税费少，全款房，电梯洋房，采光好,远大理想城 _ 第三大街,3室2厅 | 138.87平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,"VR看装修,房本满五年,随时看房",246万,单价17715元/平米
此房满五年，小区为数不多的全明户型！业主急售！,正商园田花园 _ 海洋馆,3室1厅 | 116.65平米 | 南 | 简装 | 低楼层(共21层)  | 板塔结合,"近地铁,VR看装修,房本满五年,随时看房",140万,单价12002元/平米
房子满五不唯一六；中；学；区；房；在3楼看房有钥匙,东里路39号院 _ 紫荆山,3室1厅 | 84.8平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,"VR房源,房本满五年,随时看房",95万,单价11203元/平米
万达旁东风渠畔，千米视野通透敞亮。不看此房白来一趟,圣菲城 _ 徐寨,3室2厅 | 129.15平米 | 南 | 其他 | 高楼层(共16层)  | 塔楼,"VR房源,房本满五年,随时看房",255万,单价19745元/平米
瀚宇天悦三期 2室1厅 南,瀚宇天悦三期 _ 索凌路北段,2室1厅 | 58.76平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,"VR看装修,房本满两年,随时看房,商业类",65万,单价11062元/平米
沙口路31号院 2室2厅 南 北,沙口路31号院 _ 南阳路,2室2厅 | 63.84平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,"VR房源,房本满五年,随时看房",56万,单价8772元/平米
瀚宇天悦二期 地铁4.7号线 满二年 全款房 自住精装修,瀚宇天悦二期 _ 索凌路北段,3室2厅 | 121.71平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,"VR看装修,房本满两年,随时看房",230万,单价18898元/平米
鑫苑名家 3室2厅 南,鑫苑名家 _ 北站,3室2厅 | 117平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",228万,单价19488元/平米
安泰嘉园 3室2厅 南 北,安泰嘉园 _ 北站,3室2厅 | 148.23平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,"VR看装修,房本满五年",268万,单价18081元/平米
